Dizionario per immagini                                                                                                
lezione                                                                                                                              
Grupo 3
a tarde                                                                     - il pomeriggio                                                     
cilíndrico                                                                  - cilindrico                                                        
para a esfera                                                               - la sfera                                                          
esférico                                                                    - sferico                                                           
o cubo                                                                      - il cubo                                                           
cúbico                                                                      - cubico                                                            
Grupo 9
infância                                                                    - l'infanzia                                                        
adolescência                                                                - l'adolescenza                                                     
o recém-nascido                                                             - il/la neonato                                                     
idade adulta                                                                - l'eta' adulta                                                     
a criança                                                                   - il/la bambina                                                     
a menina/menina                                                             - il/la ragazza                                                     
velhice                                                                     - la vecchiaia                                                      
o jovem                                                                     - il/la giovane                                                     
o homem                                                                     - l'uomo                                                            
a mulher                                                                    - la donna                                                          
o velho                                                                     - l'anziano                                                         
o velho                                                                     - il/la vecchia                                                     
Grupo 10
sobrinhos                                                                   - nipoti                                                            
vovô                                                                        - nonno                                                             
avó                                                                         - nonna                                                             
avós                                                                        - nonni                                                             
irmãos                                                                      - fratelli                                                          
marido                                                                      - marito                                                            
esposa                                                                      - moglie                                                            
pais                                                                        - genitori                                                          
pai                                                                         - padre                                                             
mãe                                                                         - madre                                                             
crianças                                                                    - figli                                                             
tio                                                                         - zio                                                               
filha                                                                       - figlia                                                            
zia                                                                         - zia                                                               
filho                                                                       - figlio                                                            
neto                                                                        - nipote                                                            
primo                                                                       - cugina/cugino                                                     
primos                                                                      - cugini                                                            
Grupo 11
o rosto                                                                     - la faccia                                                         
a boca                                                                      - la bocca                                                          
o queixo                                                                    - il mento                                                          
o pescoço                                                                   - il collo                                                          
o ombro                                                                     - la spalla                                                         
o braço                                                                     - il braccio                                                        
o cotovelo                                                                  - il gomito                                                         
as costas                                                                   - la schiena                                                        
o peito                                                                     - il petto                                                          
o abdômen                                                                   - l'addome                                                          
a bunda                                                                     - il sedere                                                         
a coxa                                                                      - la coscia                                                         
o joelho                                                                    - il ginocchio                                                      
a panturrilha                                                               - il polpaccio                                                      
Grupo 11a
o pulso                                                                     - il polso                                                          
o unha                                                                     - l'unghia                                                          
o polegar                                                                   - il pollice                                                        
o índice                                                                    - l'indice                                                          
o meio                                                                      - il medio                                                          
anular                                                                      - l'anulare                                                         
o dedo mindinho                                                             - il mignolo                                                        
o dedo                                                                      - il dito                                                           
Grupo 11b
o cabelo                                                                    - i capelli                                                         
a testa                                                                     - la fronte                                                         
a orelha                                                                    - l'orecchio                                                        
a bochecha                                                                  - la guancia                                                        
o nariz                                                                     - il naso                                                           
a narina                                                                    - la narice                                                         
para a barba                                                                - la barba                                                          
o bigode                                                                    - i baffi                                                           
a língua                                                                    - la lingua                                                         
os dentes                                                                   - i denti                                                           
o lábio                                                                     - il labbro                                                         
Grupo 12
a sobrancelha                                                               - il sopracciglio                                                   
a pálpebra                                                                  - la palpebra                                                       
os cílios                                                                   - le ciglia                                                         
a pupila                                                                   - la pupilla                                                        
Grupo 12a
o tornozelo                                                                 - la caviglia                                                       
o calcanhar                                                                 - il tallone                                                        
Grupo 12b
os ossos                                                                    - le ossa                                                           
o dedão do pé                                                               - l'alluce                                                          
o dedo                                                                      - il dito                                                           
o prego                                                                     - l'unghia                                                          
Grupo 12c
o cérebro                                                                   - il cervello                                                       
a espinha                                                                   - la colonna vertebrale                                             
a garganta                                                                  - la gola                                                           
a traqueia                                                                  - la trachea                                                        
o esôfago                                                                   - l'esofago                                                         
o pulmão                                                                    - il polmone                                                        
o coração                                                                   - il cuore                                                          
o fígado                                                                    - il fegato                                                         
o estômago                                                                  - lo stomaco                                                        
o intestino                                                                 - l'intestino                                                       
o rim                                                                       - il rene                                                           
o músculo                                                                   - il muscolo                                                        
o sistema genital                                                           - l'apparato genitale                                               
Grupo 13
bonito                                                                      - bello                                                             
ruim                                                                        - brutto                                                            
alto                                                                        - alto                                                              
baixo                                                                       - basso                                                             
afinar                                                                      - magro                                                             
gordo                                                                       - grasso                                                            
forte                                                                       - forte                                                             
fraco                                                                       - debole                                                            
robusto                                                                     - robusto                                                           
delgado                                                                     - snello                                                            
bronzeado                                                                   - abbronzato                                                        
pálido                                                                      - pallido                                                           
Grupo 13b
negros                                                                      - neri                                                              
loiros                                                                      - biondi                                                            
cinzas                                                                      - grigi                                                             
brancos                                                                     - bianchi                                                           
Grupo 14
as luvas                                                                    - i guanti                                                          
o chapéu                                                                    - il cappello                                                       
as calças                                                                   - i pantaloni                                                       
o blusão                                                                    - la giacca a vento                                                 
eu jeans azul                                                               - i blue jeans                                                      
a jaqueta                                                                   - il giubbone                                                       
o suéter                                                                    - il maglione                                                       
a tampa                                                                     - la cuffia                                                         
a jaqueta                                                                   - il giubbotto                                                      
o cachecol                                                                  - la sciarpa                                                        
o casaco                                                                    - il cappotto                                                       
a lapela                                                                    - ii bavero                                                         
o botão                                                                     - il bottone                                                        
o pescoço                                                                   - il collo                                                          
a jaqueta                                                                   - la giacca                                                         
Grupo 14b
o pelúcia                                                                   - la felpa                                                          
o agasalho                                                                  - la tuta da ginnastica                                             
as calças curtas                                                            - i pantaloni corti                                                 
a manga                                                                     - la manica                                                         
a manga curta                                                               - la manica corta                                                   
o vestido                                                                   - il vestito                                                        
a minissaia                                                                 - la minigonna                                                      
a camiseta                                                                  - la maglietta                                                      
o macacão de trabalho                                                       - la tuta da lavoro                                                 
o jaleco                                                                    - il camice                                                         
o uniforme                                                                  - l'uniforme                                                        
a blusa                                                                     - la camicetta                                                      
a saia                                                                      - la gonna                                                          
a capa de chuva                                                             - l'impermeabile                                                    
o bolso                                                                     - la tasca                                                          
a camisa                                                                    - la camicia                                                        
a gravata                                                                   - la cravatta                                                       
Grupo 15
a carteira                                                                  - il portafoglio                                                    
a bolsa                                                                     - il borsellino                                                     
a cintura                                                                   - la cintura                                                        
a fivela                                                                    - la fibbia                                                         
a sacola de compras                                                         - la borsa della spesa                                              
a faixa de suor                                                             - la fascia per il sudore                                           
os óculos                                                                   - gli occhiali                                                      
a bolsa                                                                     - la borsetta                                                       
a maleta                                                                    - la valigetta                                                      
o guarda-chuva                                                              - l'ombrello                                                        
a mochila                                                                   - lo zaino                                                          
a mala                                                                      - la valigia                                                        
as botas                                                                    - gli stivali                                                       
o sapato                                                                    - la scarpa                                                         
o calcanhar                                                                 - il tacco                                                          
a sola                                                                      - la suola                                                          
os cadarços                                                                 - i lacci                                                           
os tênis                                                                    - le scarpe da ginnastica                                           
sandalias                                                                  - i sandali                                                         
botas de montanha                                                           - gli scarponi da montagna                                          
os chinelos                                                                 - le ciabatte                                                       
Grupo 16
a camiseta                                                                  - la maglietta                                                      
eu boxeador                                                                 - i boxer                                                           
a roupa íntima                                                              - le mutande                                                        
as meias-calças                                                             - la calzamaglia                                                    
collant                                                                     - i collant                                                         
a regata                                                                    - la canottiera                                                     
a anágua                                                                    - la sottoveste                                                     
as mutandinas desta                                                         - le mutandine da denna                                             
o sutiã                                                                     - il reggiseno                                                      
a panciera                                                                  - la panciera                                                       
as meias                                                                    - i calzettoni                                                      
as meias                                                                    - le calze                                                          
o pijama                                                                    - il pigiama                                                        
o roupão                                                                    - l'accappatoio                                                     
a camisola                                                                  - la camicia da notte                                               
Grupo 17
os brincos                                                                  - gli orecchini                                                     
o brinco de pressão                                                         - l'orecchino a clip                                                
o brinco com o furo                                                         - l'orecchino col buco                                              
a corrente                                                                  - la catena                                                         
o colar                                                                     - la collana                                                        
o alfinete                                                                  - la spilla                                                         
a pulseira                                                                  - il braccialetto                                                   
o relógio                                                                   - l'orologio                                                        
a alça                                                                      - il cinturino                                                      
o prendedor de gravata                                                      - il fermacravatta                                                  
o anel                                                                      - l'anello                                                          
o anel                                                                      - la fede                                                           
Grupo 17b
a navalha                                                                   - il rasoio                                                         
a loção pós-barba                                                           - il dopobarba                                                      
creme de barbear                                                            - la crema da barba                                                 
as lâminas de barbear                                                       - le lamette                                                        
manteiga de cacau                                                           - il burro cacao                                                    
o espelho                                                                   - lo specchio                                                       
o esmalte para unhas                                                        - lo smalto per le unghie                                                  
lixa de unha                                                                - la lima per le unghie                                                    
o perfume                                                                   - il profumo                                                        
o rímel                                                                     - il mascara                                                        
o batom                                                                     - il rossetto                                                       
a sombra                                                                    - l'ombretto                                                        
o cortador de unhas                                                         - il tagliaunghie                                                   
maquiagem                                                                   - il fard                                                           
o lápis de olho                                                             - la matita per gli occhi                                           
Grupo 18
longo                                                                       - lungo                                                             
curto                                                                       - corto                                                             
estrito                                                                     - stretto                                                           
longo                                                                       - largo                                                             
novo                                                                        - nuovo                                                             
velho                                                                       - vecchio                                                           
sujo                                                                        - sporco                                                            
limpar                                                                      - pulito                                                            
escuro                                                                      - scuro                                                             
claro                                                                       - chiaro                                                            
abrir                                                                       - aperto                                                            
fechado                                                                     - chiuso                                                            
linha                                                                       - a righe                                                           
verificado                                                                  - a quadri                                                          
Grupo 18b
aderente                                                                    - aderente                                                          
decote baixo                                                                - scollato                                                          
com bolinhas                                                                - a pois                                                            
cor sólida                                                                  - a tinta unita                                                     
escocês                                                                     - scozzese                                                          
estampado                                                                   - stampato                                                          
bem estampado                                                               - a fantasia                                                        
lã                                                                         - la lana                                                           
algodão                                                                     - il cotone                                                         
seda                                                                        - la seta                                                           
o sintético                                                                 - il sintetico                                                      
Grupo 19
a entrada                                                                   - l'ingresso                                                        
a sala de estar                                                             - il soggiorno                                                      
o armário                                                                   - il ripostiglio                                                    
o banheiro                                                                  - il bagno                                                          
a cozinha                                                                   - la cucina                                                         
a sala de jantar                                                            - la sala da pranzo                                                 
o quarto                                                                    - la camera da letto                                                
o corredor                                                                  - il corridoio                                                      
o estudo                                                                    - lo studio                                                         
as escadas                                                                  - le scale                                                          
o elevador                                                                  - l'ascensore                                                       
Grupo 19b
o condomínio                                                                - il condominio                                                     
o apartamento                                                               - l'appartamento                                                    
láctico                                                                     - l'attico                                                          
